,clrm,weekday,1,2,3,4,5,6,7
144,210,五,语文0班,数学0班,英语0班,地理0班,体育0班,物理0班,活动0班
145,211,一,英语1班,地理1班,语文1班,思品1班,数学1班,美术1班,英语1班
146,211,二,英语1班,历史1班,数学1班,语文1班,信息1班,语文1班,生物1班
147,211,三,数学1班,历史1班,语文1班,英语1班,物理1班,数学1班,体育1班
148,211,四,数学1班,生物1班,音乐1班,物理1班,语文1班,地理1班,英语1班
149,211,五,英语1班,思品1班,语文1班,体育1班,数学1班,物理1班,活动1班
150,212,一,数学2班,地理2班,生物2班,英语2班,语文2班,语文2班,体育2班
151,212,二,历史2班,数学2班,信息2班,生物2班,物理2班,语文2班,英语2班
152,212,三,英语2班,语文2班,美术2班,数学2班,数学2班,英语2班,历史2班
153,212,四,英语2班,语文2班,物理2班,体育2班,地理2班,数学2班,思品2班
154,212,五,数学2班,英语2班,语文2班,物理2班,思品2班,音乐2班,活动2班
155,213,一,数学3班,语文3班,音乐3班,英语3班,英语3班,地理3班,历史3班
156,213,二,数学3班,英语3班,思品3班,物理3班,语文3班,数学3班,体育3班
157,213,三,历史3班,生物3班,美术3班,语文3班,数学3班,思品3班,英语3班
158,213,四,数学3班,地理3班,物理3班,英语3班,语文3班,语文3班,信息3班
159,213,五,语文3班,数学3班,英语3班,体育3班,生物3班,物理3班,活动3班
160,214,一,语文4班,数学4班,物理4班,历史4班,美术4班,英语4班,数学4班
161,214,二,英语4班,语文4班,数学4班,语文4班,地理4班,体育4班,物理4班
162,214,三,英语4班,信息4班,语文4班,数学4班,思品4班,生物4班,体育4班
163,214,四,英语4班,语文4班,数学4班,历史4班,地理4班,物理4班,英语4班
164,214,五,生物4班,英语4班,语文4班,思品4班,音乐4班,数学4班,活动4班
165,215,一,数学5班,语文5班,英语5班,物理5班,语文5班,生物5班,思品5班
166,215,二,语文5班,生物5班,历史5班,英语5班,物理5班,数学5班,音乐5班
167,215,三,地理5班,英语5班,数学5班,体育5班,语文5班,信息5班,美术5班
168,215,四,英语5班,数学5班,英语5班,体育5班,数学5班,语文5班,历史5班
169,215,五,数学5班,英语5班,物理5班,语文5班,地理5班,思品5班,活动5班
170,216,一,语文6班,英语6班,思品6班,数学6班,生物6班,物理6班,数学6班
171,216,二,英语6班,历史6班,生物6班,数学6班,语文6班,英语6班,美术6班
172,216,三,数学6班,物理6班,体育6班,英语6班,语文6班,思品6班,地理6班
173,216,四,语文6班,信息6班,体育6班,语文6班,英语6班,历史6班,数学6班
174,216,五,英语6班,语文6班,地理6班,物理6班,音乐6班,数学6班,活动6班
175,217,一,数学7班,英语7班,音乐7班,思品7班,英语7班,语文7班,班团会班��
176,217,二,英语7班,语文7班,体育7班,数学7班,历史7班,生物7班,书法7班
177,217,三,地理7班,数学7班,思品7班,历史7班,数学7班,语文7班,英语7班
178,217,四,语文7班,信息7班,美术7班,英语7班,语文7班,体育7班,数学7班
179,217,五,生物7班,语文7班,数学7班,英语7班,地理7班,劳技7班,活动7班
180,218,一,英语8班,数学8班,体育8班,地理8班,语文8班,历史8班,班团会班��
181,218,二,语文8班,英语8班,音乐8班,生物8班,语文8班,数学8班,书法8班
182,218,三,英语8班,历史8班,语文8班,数学8班,信息8班,劳技8班,思品8班
183,218,四,英语8班,思品8班,数学8班,生物8班,数学8班,英语8班,语文8班
184,218,五,语文8班,英语8班,美术8班,数学8班,体育8班,地理8班,活动8班
185,219,一,英语9班,数学9班,信息9班,语文9班,生物9班,体育9班,班团会班��
186,219,二,语文9班,数学9班,语文9班,历史9班,英语9班,劳技9班,书法9班
187,219,三,语文9班,英语9班,数学9班,思品9班,地理9班,历史9班,美术9班
188,219,四,英语9班,数学9班,体育9班,语文9班,地理9班,思品9班,英语9班
189,219,五,英语9班,数学9班,生物9班,语文9班,数学9班,音乐9班,活动9班
190,220,一,思品0班,语文0班,数学0班,英语0班,信息0班,地理0班,班团会班��
191,220,二,数学0班,语文0班,英语0班,历史0班,劳技0班,体育0班,书法0班
192,220,三,英语0班,数学0班,音乐0班,语文0班,体育0班,美术0班,语文0班
193,220,四,生物0班,英语0班,数学0班,思品0班,英语0班,语文0班,历史0班
194,220,五,数学0班,语文0班,地理0班,英语0班,生物0班,数学0班,活动0班
195,221,一,数学1班,英语1班,语文1班,数学1班,历史1班,英语1班,班团会班��
196,221,二,生物1班,语文1班,数学1班,英语1班,地理1班,思品1班,书法1班
197,221,三,语文1班,信息1班,体育1班,数学1班,生物1班,英语1班,地理1班
198,221,四,语文1班,思品1班,英语1班,历史1班,语文1班,数学1班,劳技1班
199,221,五,语文1班,英语1班,数学1班,美术1班,音乐1班,体育1班,活动1班
200,222,一,语文2班,数学2班,英语2班,体育2班,思品2班,信息2班,班团会班��
201,222,二,数学2班,英语2班,生物2班,语文2班,体育2班,劳技2班,书法2班
202,222,三,英语2班,数学2班,语文2班,数学2班,语文2班,历史2班,生物2班
203,222,四,数学2班,语文2班,音乐2班,英语2班,地理2班,美术2班,历史2班
204,222,五,英语2班,思品2班,语文2班,地理2班,英语2班,数学2班,活动2班
205,223,一,数学3班,英语3班,生物3班,历史3班,语文3班,音乐3班,班团会班��
206,223,二,语文3班,思品3班,英语3班,数学3班,英语3班,数学3班,书法3班
207,223,三,语文3班,地理3班,思品3班,英语3班,美术3班,体育3班,数学3班
208,223,四,地理3班,英语3班,数学3班,语文3班,劳技3班,语文3班,生物3班
209,223,五,历史3班,语文3班,英语3班,体育3班,数学3班,信息3班,活动3班
210,224,一,语文4班,数学4班,历史4班,英语4班,地理4班,生物4班,班团会班��
211,224,二,英语4班,数学4班,语文4班,地理4班,数学4班,英语4班,书法4班
212,224,三,思品4班,英语4班,数学4班,生物4班,语文4班,信息4班,体育4班
213,224,四,英语4班,语文4班,美术4班,体育4班,历史4班,数学4班,语文4班
214,224,五,数学4班,英语4班,音乐4班,语文4班,思品4班,劳技4班,活动4班
215,225,一,数学5班,生物5班,语文5班,英语5班,音乐5班,历史5班,班团会班��
216,225,二,数学5班,英语5班,思品5班,语文5班,劳技5班,英语5班,书法5班
217,225,三,数学5班,英语5班,体育5班,历史5班,语文5班,生物5班,地理5班
218,225,四,语文5班,信息5班,数学5班,英语5班,美术5班,思品5班,语文5班
219,225,五,语文5班,地理5班,数学5班,英语5班,数学5班,体育5班,活动5班
220,226,一,语文6班,英语6班,体育6班,数学6班,思品6班,语文6班,班团会班��
221,226,二,英语6班,信息6班,语文6班,生物6班,历史6班,数学6班,书法6班
222,226,三,数学6班,思品6班,英语6班,地理6班,历史6班,体育6班,语文6班
223,226,四,英语6班,数学6班,生物6班,语文6班,音乐6班,数学6班,美术6班
224,226,五,地理6班,英语6班,语文6班,数学6班,劳技6班,英语6班,活动6班
225,227,一,语文7班,英语7班,数学7班,体育7班,地理7班,劳技7班,班团会班��
226,227,二,数学7班,历史7班,语文7班,英语7班,生物7班,音乐7班,书法7班
227,227,三,生物7班,地理7班,数学7班,英语7班,思品7班,语文7班,数学7班
228,227,四,数学7班,英语7班,信息7班,语文7班,英语7班,历史7班,语文7班
229,227,五,思品7班,语文7班,数学7班,英语7班,体育7班,美术7班,活动7班
230,228,一,思品8班,数学8班,英语8班,语文8班,信息8班,地理8班,班团会班��
231,228,二,语文8班,英语8班,美术8班,数学8班,数学8班,英语8班,书法8班
232,228,三,英语8班,历史8班,语文8班,数学8班,体育8班,音乐8班,生物8班
233,228,四,生物8班,数学8班,英语8班,历史8班,地理8班,语文8班,劳技8班
234,228,五,语文8班,数学8班,英语8班,语文8班,思品8班,体育8班,活动8班
235,229,一,数学9班,语文9班,地理9班,生物9班,英语9班,思品9班,班团会班��
236,229,二,语文9班,英语9班,历史9班,数学9班,美术9班,语文9班,
237,229,三,思品9班,信息9班,体育9班,英语9班,数学9班,语文9班,音乐9班
238,229,四,数学9班,历史9班,语文9班,英语9班,体育9班,数学9班,生物9班
239,229,五,英语9班,语文9班,数学9班,地理9班,英语9班,劳技9班,活动9班
240,230,一,语文0班,数学0班,英语0班,生物0班,信息0班,历史0班,班团会班��
241,230,二,数学0班,语文0班,体育0班,思品0班,地理0班,英语0班,书法0班
242,230,三,语文0班,英语0班,美术0班,数学0班,体育0班,英语0班,数学0班
243,230,四,英语0班,历史0班,思品0班,生物0班,数学0班,语文0班,音乐0班
244,230,五,语文0班,英语0班,地理0班,劳技0班,语文0班,数学0班,活动0班
245,231,一,思品1班,英语1班,数学1班,语文1班,历史1班,生物1班,班团会班��
246,231,二,数学1班,英语1班,语文1班,生物1班,信息1班,数学1班,书法1班
247,231,三,历史1班,语文1班,英语1班,劳技1班,地理1班,数学1班,体育1班
248,231,四,地理1班,数学1班,英语1班,语文1班,体育1班,思品1班,英语1班
249,231,五,数学1班,英语1班,美术1班,语文1班,语文1班,音乐1班,活动1班
250,232,一,数学2班,语文2班,英语2班,地理2班,劳技2班,生物2班,班团会班��
251,232,二,语文2班,数学2班,英语2班,美术2班,数学2班,历史2班,书法2班
252,232,三,英语2班,数学2班,体育2班,历史2班,生物2班,语文2班,英语2班
253,232,四,语文2班,英语2班,数学2班,信息2班,地理2班,音乐2班,思品2班
254,232,五,英语2班,语文2班,语文2班,思品2班,数学2班,体育2班,活动2班
255,233,一,语文3班,数学3班,信息3班,英语3班,体育3班,思品3班,班团会班��
256,233,二,数学3班,英语3班,地理3班,语文3班,历史3班,数学3班,书法3班
257,233,三,思品3班,数学3班,英语3班,美术3班,音乐3班,语文3班,地理3班
258,233,四,英语3班,数学3班,语文3班,劳技3班,生物3班,体育3班,语文3班
259,233,五,数学3班,语文3班,英语3班,历史3班,英语3班,生物3班,活动3班
260,234,一,英语4班,生物4班,地理4班,语文4班,数学4班,语文4班,班团会班��
261,234,二,英语4班,语文4班,数学4班,体育4班,音乐4班,思品4班,书法4班
262,234,三,英语4班,思品4班,语文4班,数学4班,地理4班,劳技4班,历史4班
263,234,四,语文4班,英语4班,数学4班,美术4班,体育4班,信息4班,数学4班
264,234,五,英语4班,历史4班,生物4班,数学4班,语文4班,英语4班,活动4班
