clrm,class,aio,grade
1201,154,电子白板,9
1202,155,电子白板,9
1203,156,一体机,9
1302,152,电子白板,9
1303,153,电子白板,9
2104,161,一体机,8
2105,160,一体机,8
2202,166,一体机,7
2203,157,一体机,8
2204,158,一体机,8
2205,159,一体机,8
2302,162,一体机,7
2303,163,一体机,7
2304,164,一体机,7
2305,165,一体机,7
