clrm,class,aio,grade
1203,49,一体机,9
1201,50,一体机,9
2301,51,一体机,8
2302,52,一体机,8
2303,53,一体机,8
2304,54,一体机,8
2201,55,一体机,8
2202,56,一体机,8
2203,57,一体机,8
2204,58,一体机,8
2104,59,一体机,8
1406,60,一体机,7
1404,61,一体机,7
1308,64,一体机,7
1306,65,一体机,7
1304,66,一体机,7
1303,67,一体机,7
