clrm,class,aio
101,184,电子白板
102,187,电子白板
103,182,一体机
104,183,一体机
105,教师办公室,
106,186,一体机
107,188,电子白板
201,175,一体机
202,174,电子白板
203,空,一体机
204,185,一体机
205,教师办公室,
206,176,一体机
207,177,一体机
301,181,一体机
302,178,一体机
303,179,一体机
304,180,一体机
305,教师办公室,
306,190,电子白板
307,191,电子白板
401,194,电子白板
402,193,电子白板
403,计算机教室,一体机
404,192,电子白板
405,189,电子白板
406,195,电子白板
407,空,电子白板
501,生物实验室,电子白板
502,化学实验室,电子白板
503,物理实验室,电子白板
504,计算机教室,一体机
505,音乐教室,电子白板
