clrm,class,aio,grade
1101,173,一体机,7
1102,174,一体机,7
1103,175,一体机,7
1104,176,一体机,7
1105,177,一体机,7
1106,178,一体机,7
1107,179,一体机,7
1108,180,一体机,7
1201,163,一体机,8
1202,164,一体机,8
1203,165,一体机,8
1204,166,一体机,8
1205,167,一体机,8
1206,170,一体机,8
1207,171,一体机,7
1208,172,一体机,7
1301,159,一体机,8
1302,155,一体机,9
1306,160,一体机,8
1307,161,一体机,8
1308,162,一体机,8
1309,158,一体机,9
1310,157,一体机,9
1401,147,一体机,9
1402,149,一体机,9
1403,150,一体机,9
1404,151,一体机,9
1406,153,一体机,9
1407,154,一体机,9
1408,156,一体机,9
1409,152,一体机,9
