教室编号,班级编号,电脑设备情况（从下拉菜单中单选）
1101,173,一体机
1102,174,一体机
1103,175,一体机
1104,176,一体机
1105,177,一体机
1106,178,一体机
1107,179,一体机
1108,180,一体机
1201,163,一体机
1202,164,一体机
1203,165,一体机
1204,166,一体机
1205,167,一体机
1206,170,一体机
1207,171,一体机
1208,172,一体机
1301,159,一体机
1302,155,一体机
1306,160,一体机
1307,161,一体机
1308,162,一体机
1309,158,一体机
1310,157,一体机
1401,147,一体机
1402,149,一体机
1403,150,一体机
1404,151,一体机
1406,153,一体机
1407,154,一体机
1408,156,一体机
1409,152,一体机
