clrm,class,aio
1201,154班,电子白板
1202,155班,电子白板
1203,156班,一体机
1302,152班,电子白板
1303,153班,电子白板
2101,音乐教室1,电子白板
2102,音乐教室2,一体机
2103,电子琴室,一体机
2104,161班,一体机
2105,160班,一体机
2201,美术教室,电子白板
2202,166班,一体机
2203,157班,一体机
2204,158班,一体机
2205,159班,一体机
2301,梦想教室,一体机
2302,162班,一体机
2303,163班,一体机
2304,164班,一体机
2305,165班,一体机
