clrm,class,aio
,33班,无
,34班,电子白板
,35班,电子白板
,36班,电子白板
,37班,电子白板
,38班,电子白板
,39班,电子白板
,40班,电子白板
,41班,电子白板
,42班,电子白板
yjzx-201,43班,一体机
yjzx-301,44班,一体机
,45班,无
yjzx-,46班,一体机
yjzx-304,47班,一体机
yjzx-305,48班,一体机
yjzx-,49班,一体机
,50班,电子白板
,51班,电子白板
,52班,电子白板
yjzx-101,53班,一体机
,54班,电子白板
,55班,无
yjzx-103,56班,一体机
,57班,无
yjzx-104,58班,一体机
yjzx-203,59班,一体机
yjzx-205,60班,一体机
yjzx-202,61班,一体机
yjzx-217,62班,一体机
