clrm	class	aio
201	133	一体机
202	134	一体机
203	135	一体机
204	136	一体机
205	137	一体机
301	123	电子白板
302	124	电子白板
303	125	电子白板
304	126	电子白板
305	127	电子白板
401	128	一体机
402	129	一体机
403	130	一体机
404	131	一体机
405	132	一体机
