教室编号,班级编号,电脑设备情况（从下拉菜单中单选）
1101,党务室,电子白板
1102,158班,电子白板
1103,159班,电子白板
1104,美术室,电子白板
1201,155班,电子白板
1202,156班,一体机
1203,157班,一体机
1204,音乐室,一体机
1301,151班,电子白板
1302,152班,电子白板
1303,153班,电子白板
1304,154班,电子白板
1401,146班,一体机
1402,147班,一体机
1403,148班,一体机
1404,149班,一体机
1405,150班,一体机
1501,录播室,一体机
2101,化学实验室,电子白板
2201,物理实验室,电子白板
2301,生物实验室,电子白板
3201,网络教室,电子白板
