clrm,class,aio
1101,党务室,电子白板
1102,158,电子白板
1103,159,电子白板
1104,美术室,电子白板
1201,155,电子白板
1202,156,一体机
1203,157,一体机
1204,音乐室,一体机
1301,151,电子白板
1302,152,电子白板
1303,153,电子白板
1304,154,电子白板
1401,146,一体机
1402,147,一体机
1403,148,一体机
1404,149,一体机
1405,150,一体机
1501,录播室,一体机
2101,化学实验室,电子白板
2201,物理实验室,电子白板
2301,生物实验室,电子白板
3201,网络教室,电子白板
