clrm,class,aio,grade
yjzx-201,43班,一体机,8
yjzx-301,44班,一体机,8
yjzx-303,46班,一体机,8
yjzx-304,47班,一体机,8
yjzx-305,48班,一体机,8
yjzx-306,49班,一体机,8
yjzx-101,53班,一体机,7
yjzx-103,56班,一体机,7
yjzx-104,58班,一体机,7
yjzx-203,59班,一体机,7
yjzx-205,60班,一体机,7
yjzx-202,61班,一体机,7
yjzx-217,62班,一体机,7
